trade_id,entry_time,exit_time,direction,entry_price,exit_price,initial_sl,final_sl_at_exit,tp1,tp2,tp1_hit_status,position_size,pnl_pips,pnl_currency,fvg_type_entry,fvg_timestamp_entry,exit_reason,session,entry_candle_idx,exit_candle_idx,duration_candles
219,2024-06-04 21:50:00,2024-06-04 21:55:00,LONG,2327.67,2327.59,2327.59,2327.59,2327.83,2327.92,False,2.17,-8.0,-17.36,bullish,2024-06-04 21:45:00,sl_hit,london_primary,6844,6845,1
220,2024-06-04 22:05:00,2024-06-04 22:10:00,SHORT,2326.83,2326.91,2326.91,2326.91,2326.67,2326.58,False,2.13,-8.0,-17.04,bearish,2024-06-04 22:00:00,sl_hit,london_primary,6847,6848,1
221,2024-06-04 22:55:00,2024-06-04 23:00:00,LONG,2327.35,2327.27,2327.27,2327.27,2327.51,2327.6,False,2.08,-8.0,-16.64,bullish,2024-06-04 22:50:00,sl_hit,london_primary,6857,6858,1
222,2024-06-05 01:05:00,2024-06-05 01:10:00,LONG,2328.13,2328.05,2328.05,2328.05,2328.29,2328.38,False,2.04,-8.0,-16.32,bullish,2024-06-05 01:00:00,sl_hit,ny_overlap,6871,6872,1
223,2024-06-05 02:10:00,2024-06-05 02:15:00,LONG,2328.15,2328.07,2328.07,2328.07,2328.31,2328.4,False,2.0,-8.0,-16.0,bullish,2024-06-05 02:05:00,sl_hit,ny_overlap,6884,6885,1
224,2024-06-05 21:30:00,2024-06-05 21:35:00,LONG,2356.17,2356.09,2356.09,2356.09,2356.33,2356.42,False,1.96,-8.0,-15.68,bullish,2024-06-05 21:25:00,sl_hit,london_primary,7116,7117,1
225,2024-06-05 22:30:00,2024-06-05 22:35:00,SHORT,2354.02,2354.1,2354.1,2354.1,2353.86,2353.77,False,1.92,-8.0,-15.36,bearish,2024-06-05 22:25:00,sl_hit,london_primary,7128,7129,1
226,2024-06-05 23:00:00,2024-06-05 23:05:00,LONG,2353.71,2353.96,2353.63,2353.71,2353.87,2353.96,True,1.8800000000000001,25.0,47.0,bullish,2024-06-05 22:55:00,tp2_hit,london_primary,7134,7135,1
227,2024-06-06 01:00:00,2024-06-06 01:05:00,LONG,2355.73,2355.65,2355.65,2355.65,2355.89,2355.98,False,2.0,-8.0,-16.0,bullish,2024-06-05 23:55:00,sl_hit,ny_overlap,7146,7147,1
228,2024-06-06 01:05:00,2024-06-06 01:10:00,LONG,2355.81,2355.73,2355.73,2355.73,2355.97,2356.06,False,1.96,-8.0,-15.68,bullish,2024-06-06 01:00:00,sl_hit,ny_overlap,7147,7148,1
229,2024-06-06 01:50:00,2024-06-06 01:55:00,LONG,2356.58,2356.5,2356.5,2356.5,2356.74,2356.83,False,1.92,-8.0,-15.36,bullish,2024-06-06 01:45:00,sl_hit,ny_overlap,7156,7157,1
230,2024-06-06 02:20:00,2024-06-06 02:25:00,SHORT,2356.48,2356.56,2356.56,2356.56,2356.32,2356.23,False,1.8800000000000001,-8.0,-15.04,bearish,2024-06-06 02:15:00,sl_hit,ny_overlap,7162,7163,1
231,2024-06-06 02:30:00,2024-06-06 02:35:00,SHORT,2355.87,2355.95,2355.95,2355.95,2355.71,2355.62,False,1.85,-8.0,-14.8,bearish,2024-06-06 02:25:00,sl_hit,ny_overlap,7164,7165,1
232,2024-06-06 02:50:00,2024-06-06 02:55:00,SHORT,2355.01,2355.09,2355.09,2355.09,2354.85,2354.76,False,1.81,-8.0,-14.48,bearish,2024-06-06 02:45:00,sl_hit,ny_overlap,7168,7169,1
233,2024-06-06 21:40:00,2024-06-06 21:45:00,LONG,2372.81,2372.73,2372.73,2372.73,2372.97,2373.06,False,1.77,-8.0,-14.16,bullish,2024-06-06 21:35:00,sl_hit,london_primary,7394,7395,1
234,2024-06-06 22:10:00,2024-06-06 22:15:00,LONG,2373.73,2373.98,2373.65,2373.73,2373.89,2373.98,True,1.74,25.0,43.5,bullish,2024-06-06 22:05:00,tp2_hit,london_primary,7400,7401,1
235,2024-06-06 22:15:00,2024-06-06 22:20:00,LONG,2374.81,2374.73,2374.73,2374.73,2374.97,2375.06,False,1.85,-8.0,-14.8,bullish,2024-06-06 22:10:00,sl_hit,london_primary,7401,7402,1
236,2024-06-06 22:20:00,2024-06-06 22:25:00,LONG,2374.59,2374.51,2374.51,2374.51,2374.75,2374.84,False,1.81,-8.0,-14.48,bullish,2024-06-06 22:15:00,sl_hit,london_primary,7402,7403,1
237,2024-06-06 22:30:00,2024-06-06 22:35:00,SHORT,2373.48,2373.56,2373.56,2373.56,2373.32,2373.23,False,1.77,-8.0,-14.16,bearish,2024-06-06 22:25:00,sl_hit,london_primary,7404,7405,1
238,2024-06-06 22:50:00,2024-06-06 22:55:00,SHORT,2372.42,2372.5,2372.5,2372.5,2372.26,2372.17,False,1.74,-8.0,-13.92,bearish,2024-06-06 22:45:00,sl_hit,london_primary,7408,7409,1
239,2024-06-07 01:00:00,2024-06-07 01:05:00,LONG,2376.38,2376.3,2376.3,2376.3,2376.54,2376.63,False,1.7,-8.0,-13.6,bullish,2024-06-06 23:55:00,sl_hit,ny_overlap,7422,7423,1
240,2024-06-07 01:05:00,2024-06-07 01:10:00,LONG,2376.23,2376.15,2376.15,2376.15,2376.39,2376.48,False,1.67,-8.0,-13.36,bullish,2024-06-07 01:00:00,sl_hit,ny_overlap,7423,7424,1
