Date;Open;High;Low;Close;Volume
2024.05.30 23:00;2341.88;2342.05;2341.52;2341.98;162
2024.05.30 23:05;2341.98;2342.05;2341.68;2341.82;113
2024.05.30 23:10;2341.88;2342.07;2341.74;2341.98;108
2024.05.30 23:15;2341.96;2342.05;2341.79;2341.84;101
2024.05.30 23:20;2341.83;2342.78;2341.57;2342.78;98
2024.05.30 23:25;2342.8;2342.81;2342.21;2342.38;91
2024.05.30 23:30;2342.38;2342.4;2342.0;2342.18;122
2024.05.30 23:35;2342.18;2342.82;2342.16;2342.66;91
2024.05.30 23:40;2342.6;2343.29;2342.49;2343.26;96
2024.05.30 23:45;2343.25;2343.57;2341.6;2341.65;124
2024.05.30 23:50;2341.93;2342.62;2341.93;2342.61;118
2024.05.30 23:55;2342.66;2343.56;2342.6;2342.98;149
2024.05.31 01:00;2344.26;2344.82;2342.91;2343.55;215
2024.05.31 01:05;2343.47;2343.72;2342.82;2343.08;80
2024.05.31 01:10;2343.14;2343.62;2343.04;2343.13;151
2024.05.31 01:15;2343.16;2343.79;2342.07;2343.59;155
2024.05.31 01:20;2343.46;2344.55;2343.38;2344.14;156
2024.05.31 01:25;2344.15;2344.65;2343.58;2343.96;173
2024.05.31 01:30;2343.94;2344.41;2343.68;2343.68;126
2024.05.31 01:35;2343.69;2344.59;2343.5;2344.31;91
2024.05.31 01:40;2344.31;2344.78;2343.51;2343.64;163
2024.05.31 01:45;2343.64;2344.19;2343.22;2343.39;214
2024.05.31 01:50;2343.39;2343.94;2342.9;2343.84;186
2024.05.31 01:55;2343.84;2344.22;2343.7;2344.2;152
2024.05.31 02:00;2344.12;2344.37;2343.63;2343.65;166
2024.05.31 02:05;2343.65;2343.94;2343.39;2343.9;130
2024.05.31 02:10;2343.9;2344.86;2343.81;2344.55;123
2024.05.31 02:15;2344.55;2345.8;2344.55;2345.8;126
2024.05.31 02:20;2345.8;2346.44;2345.11;2345.3;178
2024.05.31 02:25;2345.3;2345.3;2344.09;2344.18;117
2024.05.31 02:30;2344.19;2344.58;2344.01;2344.14;124
2024.05.31 02:35;2344.13;2344.13;2343.4;2343.94;119
2024.05.31 02:40;2343.96;2344.32;2343.66;2343.68;130
